Ref.,Value,Footprint,Manufacturer,Man. Part No.,Digikey.com Part No.,Comments
C1,10u,SM603,,,,
C2,0.1,SM603,,,,
C3,0.1,SM603,,,,
C4,0.1,SM603,,,,
C5,0.1,SM603,,,,
C6,0.1,SM603,,,,
C7,0.1,SM603,,,,
C8,0.1,SM603,,,,
C9,0.1,SM603,,,,
C10,0.1,SM603,,,,
C11,10u,SM1206,,,,
C12,47u,SM1206,,,,
C13,18p,SM603,,,06036A180JAT2A-ND,+/- 5% (ceramic)
C14,18p,SM603,,,06036A180JAT2A-ND,+/- 5% (ceramic)
C15,0.1,SM603,,,,
C16,47u,SM1206,,,,
C17,0.1,SM603,,,,
C18,0.1,SM603,,,,
C19,0.1,SM603,,,,
C20,0.1,SM603,,,,
C21,0.1,SM603,,,,
C22,0.1,SM603,,,,
C23,0.1,SM603,,,,
C24,0.1,SM603,,,,
C25,0.1,SM603,,,,
C26,0.1,SM603,,,,
C27,0.1,SM603,,,,
C28,0.1,SM603,,,,
C29,0.1,SM603,,,,
C44,1u,SM603,,,,
C45,1u,SM603,,,,
C46,0.1,SM603,,,,
C47,0.1,SM603,,,,
C48,0.1,SM603,,,,
C49,0.1,SM603,,,,
C50,0.1,SM603,,,,
C51,1u,SM603,,,,
C52,1u,SM603,,,,
C53,0.1,SM603,,,,
C54,0.1,SM603,,,,
C55,0.1,SM603,,,,
C56,0.1,SM603,,,,
D1,DIODE,SM603,,,,
D2,DIODESCH,SM603,Comchip Technology,CDBU00340,641-1006-1-ND,
D3,DIODESCH,SM603,Comchip Technology,CDBU00340,641-1006-1-ND,
D4,DIODESCH,SM603,Comchip Technology,CDBU00340,641-1006-1-ND,
D5,DIODESCH,SM603,Comchip Technology,CDBU00340,641-1006-1-ND,
D6,DIODESCH,SM603,Comchip Technology,CDBU00340,641-1006-1-ND,
D7,DIODESCH,SM603,Comchip Technology,CDBU00340,641-1006-1-ND,
D8,DIODESCH,SM603,Comchip Technology,CDBU00340,641-1006-1-ND,
D9,DIODESCH,SM603,Comchip Technology,CDBU00340,641-1006-1-ND,
D10,DIODESCH,SM603,Comchip Technology,CDBU00340,641-1006-1-ND,
D11,DIODESCH,SM603,Comchip Technology,CDBU00340,641-1006-1-ND,
